position_action,angle_action,gripper_position,gripper_angle,gripper_velocity,gripper_angular_velocity,target_position,target_angle,target_velocity,target_angular_velocity,closest_point,contact_force,rewards,finger1_angles,finger2_angles,finger3_angles,finger1_min_dists,finger2_min_dists,finger3_min_dists,num_contact_points,fingertip_num_contact_points,accumulated_contact_force,totalLateralFrictionForce,finger1_link1_world_angles,finger1_link2_world_angles,finger1_link3_world_angles
[ 0.802953    0.23050988 -0.85556555],[ 0.20658028 -0.12575269 -0.07963127],[-0.15568481  0.58016199  1.54061997],[-0.06803203 -0.03307146  0.03217711],[ 0.35020655  0.11064471 -0.41067153],[ 1.01108265 -0.56984395 -0.35178033],[-0.16777207  0.76335907  1.51048255],[ 0.02224099  0.06200598 -0.041951  ],[-0.01935276  0.03227552  0.05776861],[0.00632372 0.00887831 0.00310196],[-1.38777878e-17 -3.11474605e-02  2.02540154e-03],0,2.909194447807788,[-5.66811132e-07  9.28042666e-07  2.22556680e-04],[ 4.45592593e-07 -7.41521146e-07  3.25988584e-04],[ 1.39246487e-04 -2.40225910e-07 -1.88182181e-05],[0.01738079 0.0268558  0.04706107],[0.01411047 0.02447119 0.04467513],[0.05103342 0.06865702 0.08116566],0,[0 0 0],0,[0 0 0],[1.53388408 0.59262318 1.58316   ],[1.53388959 0.59240175 1.58316986],[1.54009902 0.0729044  1.60154668]
[-0.5888995  -0.57778317  0.37774146],[ 0.4091649   0.19932854 -0.16138893],[-0.15686262  0.57900643  1.5413754 ],[-0.05985461 -0.02907262  0.02896378],[-0.28267163 -0.27733585  0.18131554],[ 1.93138647  1.01922679 -0.71022391],[-0.16678472  0.76603317  1.51880133],[-0.02909233 -0.01726438 -0.01287623],[-0.02658311  0.0548985   0.0587398 ],[-0.00813261  0.01775112  0.00120784],[ 0.         -0.03260389  0.00186584],0,2.92021253236309,[-4.55961004e-07 -3.58358527e-07  2.22880758e-04],[ 6.50427335e-07 -5.93216917e-07  3.25794287e-04],[ 1.39049616e-04 -1.79934244e-07 -1.88862313e-05],[0.01685035 0.02548495 0.04534727],[0.01395159 0.02338858 0.04324951],[0.05275614 0.0700511  0.08315189],0,[0 0 0],0,[0 0 0],[1.53097096 0.58843564 1.58007223],[1.53097687 0.58821326 1.58008288],[1.53759338 0.0687645  1.59990359]
[-0.09132022  0.6232275   0.5207001 ],[-0.6352366  -0.18729603 -0.22494149],[-0.15704526  0.58025289  1.54241681],[-0.07255276 -0.03284846  0.02449109],[-0.0438338   0.2991491   0.24993634],[-3.02079678 -0.98727113 -1.16776717],[-0.17016892  0.76006126  1.51410913],[-0.00763571 -0.00512463  0.01668794],[-0.02567682  0.03400738  0.04430694],[-0.00743723 -0.00070809 -0.00263898],[ 1.38777878e-17 -3.18366670e-02  2.24110882e-03],0,2.908784825917065,[-3.64257253e-07  6.68870020e-07  2.22643774e-04],[ 4.27300834e-07 -4.74911710e-07  3.25791332e-04],[ 1.39175162e-04 -1.43947395e-07 -1.88745820e-05],[0.01671566 0.02582756 0.04624026],[0.01380041 0.02345875 0.0438701 ],[0.05199222 0.06963244 0.08182306],0,[0 0 0],0,[0 0 0],[1.53597393 0.58035072 1.57987305],[1.53597902 0.58012798 1.57988232],[1.54162359 0.06060228 1.59720481]
[-0.20945197 -0.28966856  0.19003773],[0.12367666 0.07807624 0.13102269],[-0.15746416  0.57967359  1.54279697],[-0.07007819 -0.03129073  0.02711407],[-0.10053696 -0.13904087  0.09121818],[0.58374792 0.389045   0.64855582],[-0.14624739  0.76766777  1.52526343],[0.01931555 0.03102101 0.00961685],[-0.04324052  0.02786617  0.04172541],[-0.00621442  0.00634886  0.0053655 ],[ 1.38777878e-17 -3.24205946e-02  2.19347070e-03],0,2.9112785794418112,[-1.03264022e-06  6.64051986e-07  2.21621694e-04],[ 4.27300834e-07 -5.46920847e-07  3.25955974e-04],[ 1.39492794e-04 -4.87200085e-07 -1.88746394e-05],[0.01679225 0.0253884  0.04570041],[0.01384747 0.0231318  0.04344241],[0.05271884 0.07007614 0.08244755],0,[0 0 0],0,[0 0 0],[1.53111462 0.59295789 1.57231725],[1.53112057 0.59273543 1.5723279 ],[1.53780274 0.07328345 1.59208345]
[0.84409237 0.26259112 0.7732984 ],[0.15143287 0.3630334  0.08815908],[-0.15577598  0.58019876  1.54434347],[-0.06703513 -0.02403298  0.02889029],[0.40516433 0.12604377 0.37118328],[0.68100214 1.76161551 0.44649142],[-0.167266    0.75724399  1.50622869],[ 0.0358792  -0.00788772  0.00530135],[-0.02082718  0.0359633   0.04076461],[-0.00140371  0.00316958  0.0088024 ],[ 0.         -0.03200176  0.00206644],0,2.915369383888753,[-1.68857517e-06  6.55592089e-07  2.20601146e-04],[ 4.27300834e-07 -6.81594598e-07  3.26158692e-04],[ 1.39797076e-04 -8.29500971e-07 -1.88727198e-05],[0.01511466 0.02358786 0.04381569],[0.01250114 0.02185376 0.04208016],[0.05396904 0.07179814 0.08441189],0,[0 0 0],0,[0 0 0],[1.53305769 0.59052076 1.5761034 ],[1.53306329 0.5902993  1.57611346],[1.53937222 0.070815   1.59489875]
[ 0.10954523 -0.4089594  -0.57103914],[ 0.27048147 -0.53072894  0.14420485],[-0.15555689  0.57938081  1.54320145],[-0.06162143 -0.03465582  0.0317417 ],[ 0.05258162 -0.19630063 -0.27409852],[ 1.37541592 -2.50893688  0.72245294],[-0.17117354  0.76174557  1.51385796],[0.00046198 0.01130684 0.03275293],[-0.0156879   0.04452017  0.06012013],[0.00644258 0.00382664 0.01094753],[-5.55111512e-17 -3.27389924e-02  1.91783428e-03],0,2.9154531565007096,[-1.34923198e-06  1.36487208e-06  2.20466387e-04],[ 2.85598624e-07 -5.46074219e-07  3.26121986e-04],[ 1.39830140e-04 -6.63600777e-07 -1.89368650e-05],[0.01642594 0.02472306 0.04462387],[0.01308718 0.02222478 0.04212421],[0.05360708 0.07087825 0.08383231],0,[0 0 0],0,[0 0 0],[1.54185567 0.58762028 1.58285185],[1.54185992 0.58739977 1.58285952],[1.54665568 0.06779282 1.59726351]
[-0.67211896 -0.11762053  0.698401  ],[-0.2558099  -0.06905103  0.16462433],[-0.15690112  0.57914561  1.54459822],[-0.0667415  -0.03602936  0.03503704],[-0.32261693 -0.05645783  0.33523205],[-1.21635818 -0.37046281  0.74745703],[-0.16910332  0.7597515   1.5079571 ],[-0.00398421 -0.01267565 -0.03370463],[-0.02629458  0.04721423  0.03928756],[-0.00990021  0.00520945  0.01150003],[ 0.         -0.03304833  0.00209331],0,2.909761314291708,[-1.08070306e-06 -3.32772285e-08  2.20837285e-04],[ 4.88333151e-07 -4.37125398e-07  3.25947208e-04],[ 1.39587835e-04 -5.30880621e-07 -1.90466036e-05],[0.01627303 0.02399579 0.04411977],[0.01270907 0.02139838 0.04152092],[0.05449467 0.07157324 0.08416101],0,[0 0 0],0,[0 0 0],[1.52924965 0.58199393 1.57890304],[1.52925568 0.58177365 1.578914  ],[1.53602497 0.06235282 1.59958248]
[-0.47443533  0.18293667 -0.36499172],[-0.37710416  0.00281167 -0.3010553 ],[-0.15785     0.57951146  1.5438683 ],[-0.07428964 -0.03599917  0.02901573],[-0.22772893  0.08780957 -0.1751961 ],[-1.80968714 -0.05072694 -1.5103333 ],[-0.15180217  0.76621276  1.50339878],[-0.01064456  0.01652282  0.02230509],[-0.03344791  0.03112508  0.04937021],[-0.0078482   0.01132111 -0.00077455],[ 0.         -0.03310094  0.00237005],0,2.9059052756874415,[-4.73010459e-07 -2.62924044e-08  2.21778926e-04],[ 4.88333151e-07 -3.13328624e-07  3.25908669e-04],[ 1.39302860e-04 -2.11780863e-07 -1.90480011e-05],[0.01751277 0.02556683 0.04603444],[0.01421753 0.0229712  0.0434374 ],[0.05302858 0.06991879 0.08197423],0,[0 0 0],0,[0 0 0],[1.52745452 0.58707716 1.58102683],[1.52746088 0.58685653 1.58103832],[1.53463269 0.06746542 1.60260658]
[ 0.60501707 -0.10607076  0.143816  ],[-0.09583259  0.3351667   0.13787901],[-0.15663996  0.57929933  1.54415584],[-0.07619075 -0.02929385  0.03177003],[ 0.2904081  -0.05091415  0.06903144],[-0.50471538  1.59467411  0.64613628],[-0.15553899  0.76153046  1.50750732],[ 0.00938454  0.0164289  -0.00416218],[-0.03729992  0.02591025  0.04255816],[ 0.02053895 -0.00078155  0.00068475],[ 9.71445147e-17 -3.33011517e-02  2.44365985e-03],0,2.906021342271864,[-8.94012736e-07 -1.12233170e-07  2.21585549e-04],[ 4.88333151e-07 -1.81437012e-06  3.26579783e-04],[ 1.39629759e-04 -3.56219642e-07 -1.90019831e-05],[0.01778722 0.02546995 0.04607195],[0.0147443  0.02335375 0.04395734],[0.0532384  0.06989829 0.08184587],0,[0 0 0],0,[0 0 0],[1.52726387 0.59461819 1.57462757],[1.52727039 0.59439662 1.57463922],[1.53463753 0.07500873 1.59631384]
[-0.5312053   0.08444941  0.2237997 ],[0.28345728 0.12568271 0.04884708],[-0.15770237  0.57946819  1.54460347],[-0.0705198  -0.02678303  0.03275441],[-0.2549786   0.04053557  0.10742365],[1.34034574 0.64616698 0.274405  ],[-0.15383025  0.75330687  1.51539934],[-0.00572481  0.01972739 -0.02388352],[-0.02928681  0.02502366  0.04335484],[-0.01004522 -0.00284339  0.0152043 ],[ 1.38777878e-17 -3.32160984e-02  2.24653224e-03],0,2.9112381553809286,[-1.02863422e-06 -1.76500183e-07  2.21576623e-04],[ 4.88333151e-07 -2.91832607e-06  3.27271059e-04],[ 1.39735029e-04 -4.35070580e-07 -1.89673026e-05],[0.01699415 0.02466169 0.04502776],[0.01405135 0.02272948 0.0430942 ],[0.05386466 0.07072976 0.08308742],0,[0 0 0],0,[0 0 0],[1.53530932 0.59667224 1.58183366],[1.53531466 0.59645079 1.58184316],[1.54135596 0.07693078 1.59951599]
[-0.13411844 -0.2204842   0.4879253 ],[-0.2875986   0.39780593  0.00070965],[-0.15797061  0.57902724  1.54557931],[-0.07625998 -0.0188269   0.03274606],[-0.06437693 -0.10583249  0.23420441],[-1.4390732   1.86334515 -0.03341752],[-0.15878636  0.77352607  1.51084745],[-0.00969026  0.00782791 -0.00660759],[-0.03569123  0.04600785  0.03447005],[0.00049781 0.00893289 0.00847675],[ 0.         -0.03384244  0.00249151],0,2.909037010777961,[-8.27139887e-07  5.80561616e-07  2.21417407e-04],[ 2.37662929e-07 -2.33515799e-06  3.26935139e-04],[ 1.39807975e-04 -3.48056464e-07 -1.89868383e-05],[0.01719466 0.02417964 0.04485205],[0.01469411 0.02280637 0.04349091],[0.05451077 0.07103275 0.08301242],0,[0 0 0],0,[0 0 0],[1.53847343 0.59105445 1.58474755],[1.53847824 0.59083299 1.58475617],[1.54389003 0.07126931 1.60084696]
[-0.30947036  0.4480636   0.2914847 ],[-0.27217668  0.09729397 -0.12300569],[-0.15858954  0.57992339  1.54616225],[-0.08170632 -0.01688799  0.03028022],[-0.14854585  0.21507034  0.13991238],[-1.32092798  0.42392856 -0.61514169],[-0.16571043  0.75764513  1.50796807],[-0.02373238  0.02664078 -0.01242084],[-0.05751031  0.04921389  0.05795718],[ 0.00603449 -0.01481319  0.00917317],[ 1.38777878e-17 -3.32557981e-02  2.63974259e-03],0,2.9048346410099426,[-6.90227105e-07  4.88161004e-07  2.21169899e-04],[ 2.37662929e-07 -3.93163838e-06  3.27834685e-04],[ 1.39538220e-04 -5.24706392e-07 -1.89373750e-05],[0.01689046 0.02419755 0.04512992],[0.01460437 0.02296989 0.04390811],[0.05409512 0.07091011 0.08250691],0,[0 0 0],0,[0 0 0],[1.54796045 0.59692048 1.58991798],[1.54796389 0.59669912 1.58992409],[1.55185379 0.0770277  1.60129768]
[-0.92932385 -0.33065128 -0.20396131],[-0.3517316   0.19642496 -0.02860445],[-0.16044819  0.57926208  1.54575443],[-0.08873859 -0.01296153  0.02969418],[-0.44607553 -0.15871267 -0.09790111],[-1.71505272  0.89132375 -0.16583639],[-0.16382816  0.75661784  1.52363312],[0.01455451 0.0247069  0.05821845],[-0.00723502  0.02378249  0.04684748],[-0.00861361  0.01631731  0.01080147],[ 1.38777878e-17 -3.40305963e-02  2.94724729e-03],0,2.8999696453502692,[-5.58244652e-07  1.33830985e-06  2.20980602e-04],[-6.50553581e-08 -3.14590764e-06  3.27368386e-04],[ 1.39627914e-04 -4.19765114e-07 -1.89762839e-05],[0.01849054 0.02533023 0.04654086],[0.01644231 0.02434679 0.04560136],[0.0534597  0.06965727 0.08075387],0,[0 0 0],0,[0 0 0],[1.55022295 0.60239073 1.58863175],[1.55022608 0.60216961 1.58863727],[1.55378677 0.08247747 1.59888858]
[ 0.6560247  -0.5570253   0.72580564],[ 0.39062953 -0.372236    0.37193298],[-0.15913615  0.57814801  1.54720604],[-0.08095098 -0.02043681  0.03710064],[ 0.31489182 -0.26737216  0.3483867 ],[ 1.92763829 -1.73066032  1.80874264],[-0.16001777  0.77748317  1.51474059],[ 0.03015971 -0.02326034  0.01434139],[-0.00160139  0.0295903   0.03036799],[-1.75534503e-03 -1.65232420e-02 -9.63735001e-05],[ 0.         -0.03502058  0.00272797],0,2.9040171571893416,[-1.08065827e-06  1.32057424e-06  2.20110764e-04],[-6.50553581e-08 -3.41910738e-06  3.27883575e-04],[ 1.39848795e-04 -6.98125447e-07 -1.89690685e-05],[0.01775199 0.02362782 0.04444694],[0.0149601  0.0220848  0.04296969],[0.05575322 0.07160852 0.08325048],0,[0 0 0],0,[0 0 0],[1.55490399 0.60946465 1.59060677],[1.55490645 0.60924369 1.59061105],[1.55771313 0.08951708 1.59853483]
[ 0.36450803  0.34496212 -0.47233087],[ 0.22045684 -0.32178628  0.13908565],[-0.15840714  0.57883793  1.54626131],[-0.07654286 -0.02687903  0.03986636],[ 0.17496373  0.16558184 -0.22671837],[ 1.11635709 -1.50429344  0.68879634],[-0.1856277   0.77257949  1.51462781],[ 0.01116863 -0.02380663  0.03814263],[-0.02665208  0.04035164  0.05233283],[-0.0111374   0.00633509 -0.00765436],[ 8.32667268e-17 -3.42598658e-02  2.50048190e-03],0,2.9042049627684365,[-8.69739686e-07  2.16893984e-06  2.19915868e-04],[-1.28531047e-07 -2.73600907e-06  3.27449357e-04],[ 1.39909221e-04 -5.58500357e-07 -1.90361633e-05],[0.01798276 0.02451645 0.04512536],[0.01471116 0.02254692 0.04318469],[0.05477275 0.0708379  0.08276921],0,[0 0 0],0,[0 0 0],[1.54593015 0.60158669 1.59303533],[1.5459339  0.60136665 1.59304197],[1.55022772 0.081714   1.60543124]
[-0.01111662 -0.07490927 -0.1825279 ],[ 0.01329434 -0.5863912  -0.00091916],[-0.15842937  0.57868814  1.54589629],[-0.07625041 -0.03860687  0.03984525],[-0.00533609 -0.03595643 -0.087613  ],[ 1.82247370e-01 -2.80965328e+00 -2.76721339e-03],[-0.17321292  0.76591158  1.51652896],[-0.0195255   0.00651483  0.00308944],[-0.02807863  0.03713943  0.04115021],[-1.69828454e-05  1.61248799e-02  1.09050805e-02],[ 0.         -0.03455207  0.00249859],0,2.900622082215184,[-7.00059353e-07  2.91683198e-06  2.19741478e-04],[-1.66811097e-07 -2.18939588e-06  3.27099729e-04],[ 1.39965431e-04 -4.46800286e-07 -1.90840382e-05],[0.01873092 0.02534734 0.04584872],[0.01480329 0.02252893 0.04306416],[0.05435012 0.07018707 0.08209357],0,[0 0 0],0,[0 0 0],[1.53821996 0.59706994 1.59155611],[1.53822483 0.59685014 1.59156477],[1.54377693 0.07728991 1.60778893]
[-0.5670493   0.1808163   0.79140973],[-0.358279    0.41201973 -0.14717633],[-0.15956347  0.57904977  1.54747915],[-0.08341531 -0.03037795  0.03686832],[-0.27218351  0.08679183  0.37987623],[-1.79302812  1.90757954 -0.77375925],[-0.16493589  0.75458616  1.50980175],[ 0.0253759  -0.03638212  0.00305181],[-0.0228909   0.04319597  0.06058744],[-0.02040109  0.00393789  0.01825395],[ 0.         -0.03458311  0.00277048],0,2.8988629428508235,[-5.64807039e-07  1.64264495e-06  2.20079256e-04],[-1.84361658e-07 -1.75165103e-06  3.26730761e-04],[ 1.39773777e-04 -3.57440229e-07 -1.91769459e-05],[0.01807042 0.02438375 0.04525288],[0.01473277 0.02213717 0.04305998],[0.05499678 0.07096428 0.08239648],0,[0 0 0],0,[0 0 0],[1.52405317 0.59650611 1.58358294],[1.52406014 0.59628661 1.58359535],[1.53201516 0.07695865 1.60687117]
[ 0.18218064 -0.3886106  -0.6801507 ],[ 0.2504593  -0.65851754  0.04877043],[-0.1591991   0.57827252  1.54611874],[-0.07837467 -0.04355084  0.03780718],[ 0.08744674 -0.18653308 -0.32647234],[ 1.32611001 -3.11415601  0.27003103],[-0.14940286  0.74909133  1.5205456 ],[0.01951427 0.00627939 0.00433528],[-0.01812083  0.02642639  0.05568951],[ 0.00669775  0.00237566 -0.00251304],[-2.77555756e-17 -3.53640639e-02  2.63599529e-03],0,2.8984611913830003,[-4.42888751e-08  1.66838435e-06  2.21041238e-04],[-1.84361658e-07 -1.28465740e-06  3.26705939e-04],[ 1.39580428e-04 -8.97756152e-08 -1.91885775e-05],[0.01954337 0.02584904 0.04637143],[0.01542929 0.02264033 0.04323107],[0.05434771 0.06976371 0.08150013],0,[0 0 0],0,[0 0 0],[1.53380984 0.60386682 1.58586947],[1.53381546 0.60364689 1.58587936],[1.54024515 0.08414862 1.60430939]
[0.62307775 0.31608677 0.7125747 ],[ 0.3853979   0.34055042 -0.10117275],[-0.15795295  0.57890469  1.547544  ],[-0.07066595 -0.03673253  0.03580748],[0.2990773  0.15172164 0.34203586],[ 1.78713667  1.7033062  -0.40567642],[-0.15670708  0.7711128   1.51735222],[-0.01493747  0.00661539 -0.04008328],[-0.01183086  0.04334915  0.05091341],[-0.00376463  0.01327482 -0.01162307],[ 0.         -0.03500914  0.00235225],0,2.907987397825427,[-5.94808490e-07  1.64959023e-06  2.20119292e-04],[-1.84361658e-07 -1.59741476e-06  3.27013734e-04],[ 1.39811449e-04 -3.84045458e-07 -1.91808054e-05],[0.01738698 0.02373741 0.04401451],[0.01374764 0.02106915 0.04136506],[0.05575979 0.07181945 0.08412762],0,[0 0 0],0,[0 0 0],[1.51800166 0.5984859  1.57805317],[1.51800962 0.59826517 1.57806729],[1.52704762 0.07906129 1.60435873]
[ 0.14014232  0.72068    -0.16014516],[-0.3821988   0.4343164  -0.45081878],[-0.15767266  0.58034605  1.54722369],[-0.07834672 -0.02808857  0.02674468],[ 0.06726834  0.3459264  -0.07686969],[-1.90640259  2.01591897 -2.23478246],[-0.17131633  0.77075565  1.5007813 ],[ 0.03294527 -0.04809702  0.01837337],[-0.02370246  0.03966209  0.04995003],[ 0.0060425   0.00893497 -0.00481775],[ 0.         -0.0341415   0.00259779],0,2.907041145482548,[-1.12785316e-07  1.67337314e-06  2.21009608e-04],[-1.84361658e-07 -1.16584272e-06  3.26991567e-04],[ 1.39631939e-04 -1.37403428e-07 -1.91915495e-05],[0.01749512 0.02468533 0.04538397],[0.01474538 0.02264568 0.04335615],[0.05414677 0.07064905 0.08244837],0,[0 0 0],0,[0 0 0],[1.52649058 0.59097793 1.58111909],[1.52649712 0.59075802 1.58113083],[1.53391477 0.07138491 1.60318448]
[ 0.44371474 -0.28214818 -0.61776817],[ 0.3929248  -0.7964863   0.05023241],[-0.15678523  0.57978177  1.54598808],[-0.07044363 -0.04402225  0.02768166],[ 0.21298304 -0.13543111 -0.29652867],[ 1.99887979 -3.77107072  0.29324347],[-0.15262417  0.76439339  1.52353299],[-0.02125734 -0.01015899  0.01167398],[-0.03466262  0.05981294  0.04658395],[0.0089351  0.00670273 0.01674471],[-2.77555756e-17 -3.47262824e-02  2.35121047e-03],0,2.9074701407072383,[-7.04265861e-07  1.66587527e-06  2.20088990e-04],[-1.84361658e-07 -1.27713084e-06  3.27253935e-04],[ 1.39909286e-04 -4.31989324e-07 -1.91899325e-05],[0.01851245 0.02582742 0.04604811],[0.01482408 0.02264497 0.04287421],[0.0536754  0.06982079 0.08211493],0,[0 0 0],0,[0 0 0],[1.53671411 0.59884886 1.57753714],[1.53671925 0.59862798 1.57754625],[1.54255836 0.07908951 1.5945225 ]
[-0.51753855  0.4820366   0.88688374],[-0.50598264  0.02641237  0.00866318],[-0.15782031  0.58074582  1.54776192],[-0.08056314 -0.04349313  0.02785226],[-0.24841851  0.23137756  0.42570418],[-2.4289465   0.05957486 -0.06529806],[-0.16033243  0.75756508  1.51948166],[-0.01390029 -0.00603711  0.00373016],[-0.02175494  0.02736444  0.04614449],[ 0.00121144 -0.00029175 -0.00357955],[ 0.         -0.03404921  0.0026528 ],0,2.898747024267499,[-1.22856769e-06  1.64631667e-06  2.19194000e-04],[-1.84361658e-07 -1.60063767e-06  3.27594281e-04],[ 1.40123719e-04 -7.12940152e-07 -1.91816884e-05],[0.0177526  0.02510498 0.04578398],[0.01409039 0.02195487 0.04264751],[0.05392908 0.07042341 0.0820055 ],0,[0 0 0],0,[0 0 0],[1.51772411 0.59055245 1.56811933],[1.51773193 0.59033267 1.56813338],[1.52660737 0.07113599 1.59454735]
[-0.20218915  0.17731452  0.38669407],[ 0.18735647  0.3336178  -0.00477797],[-0.15822469  0.58110046  1.54853523],[-0.07680789 -0.03682059  0.0277693 ],[-0.09705081  0.08511099  0.1856132 ],[0.85565591 1.62582767 0.01627292],[-0.14936072  0.76313722  1.52777767],[-0.00662566 -0.00398913 -0.03144642],[0.00292545 0.03596509 0.04926459],[-0.00061901  0.00941425  0.01110331],[ 1.38777878e-17 -3.38446200e-02  2.51327308e-03],0,2.9045869569448,[-1.81823059e-06  1.64116138e-06  2.18285721e-04],[-1.84361658e-07 -1.66414664e-06  3.27908637e-04],[ 1.40401525e-04 -1.01407591e-06 -1.91813490e-05],[0.01670377 0.02403054 0.04460123],[0.01341844 0.02137067 0.04194494],[0.05464774 0.07144227 0.08331661],0,[0 0 0],0,[0 0 0],[1.51799047 0.60067425 1.56799666],[1.51799839 0.60045536 1.56801069],[1.52709611 0.08124791 1.59431247]
[0.1822133  0.44017053 0.7326468 ],[-0.08789116  0.24389958 -0.18901026],[-0.15786026  0.58198082  1.55000055],[-0.07857229 -0.03194727  0.02398176],[0.08746241 0.21128185 0.35167044],[-0.45332521  1.15825665 -0.92356515],[-0.16135541  0.77176636  1.52374125],[ 0.01489549 -0.02399566  0.02372112],[-0.01038433  0.03242183  0.03099729],[-0.00145069 -0.00214028 -0.00668471],[ 2.77555756e-17 -3.33904345e-02  2.55539836e-03],0,2.9055717777883956,[-1.34986939e-06  1.66106719e-06  2.19116768e-04],[-1.84361658e-07 -1.29429612e-06  3.27978281e-04],[ 1.40212646e-04 -7.91282292e-07 -1.91901665e-05],[0.01530378 0.0227825  0.0434754 ],[0.01246261 0.02047818 0.04116971],[0.05527959 0.07259399 0.08436312],0,[0 0 0],0,[0 0 0],[1.52619412 0.59711266 1.5726891 ],[1.52620073 0.59689459 1.57270087],[1.53380469 0.07752235 1.59491228]
[ 0.5189979   0.09242201 -0.01063228],[ 0.36446953 -0.3430724   0.0969069 ],[-0.15682226  0.58216566  1.54997933],[-0.07127956 -0.03881603  0.02589275],[ 0.24911903  0.04436257 -0.00510351],[ 1.78972268 -1.60436809  0.5205487 ],[-0.16170762  0.76015997  1.515782  ],[-0.00130084 -0.02811862  0.00326111],[-0.03316171  0.03869824  0.04822847],[-0.0053365  -0.00397225  0.01279014],[ 0.         -0.03321584  0.00228701],0,2.9083068094343245,[-8.14649435e-07  1.68443924e-06  2.20075604e-04],[-1.84361658e-07 -8.69962214e-07  3.27958503e-04],[ 1.40005263e-04 -5.04100442e-07 -1.92005094e-05],[0.01484634 0.02254196 0.04285103],[0.01153189 0.01974385 0.04005158],[0.05551181 0.07301709 0.08527355],0,[0 0 0],0,[0 0 0],[1.53203744 0.59899324 1.57213092],[1.53204324 0.59877429 1.5721412 ],[1.53868682 0.07930272 1.59144651]
[-0.4462576   0.13536763  0.13405311],[-0.34881735 -0.11721301 -0.00262105],[-0.15771478  0.58243638  1.55024743],[-0.07825509 -0.04116045  0.02584852],[-0.21420377  0.06497646  0.06434586],[-1.65767372 -0.60573941 -0.07754352],[-0.17647251  0.76253498  1.52697182],[-0.03170957 -0.00893115 -0.0429381 ],[-0.04035083  0.04636524  0.03964747],[-0.01117276  0.00742539  0.00328603],[-1.38777878e-17 -3.31468833e-02  2.51429135e-03],0,2.9013814081817024,[-6.52324942e-07  2.47209222e-06  2.19887640e-04],[-1.48975794e-07 -6.96509646e-07  3.27857417e-04],[ 1.40060442e-04 -4.03280353e-07 -1.92387132e-05],[0.01542719 0.0231215  0.04372907],[0.01198523 0.02015433 0.04076059],[0.05502137 0.07238889 0.08414349],0,[0 0 0],0,[0 0 0],[1.52396257 0.59153649 1.56977206],[1.52396948 0.59131666 1.56978447],[1.53182375 0.07199078 1.59309681]
[-0.7031924  0.4490726  0.5644287],[-0.42044848  0.44890952 -0.28669578],[-0.15912117  0.58333457  1.55137622],[-0.08667746 -0.03220992  0.0200675 ],[-0.3375324   0.21555482  0.27092576],[-2.0687995   2.10117841 -1.46156478],[-0.15968202  0.76634377  1.50380313],[ 0.02311737 -0.00217797 -0.01574941],[-0.02267394  0.03576168  0.04647238],[-0.00207246 -0.00579337 -0.00451502],[-6.93889390e-17 -3.27787155e-02  2.78999738e-03],0,2.8985575647054933,[-1.23082567e-06  2.44896226e-06  2.18883052e-04],[-1.48975794e-07 -1.08817886e-06  3.28166661e-04],[ 1.40292664e-04 -7.07791070e-07 -1.92287753e-05],[0.01485069 0.0226812  0.04373885],[0.0121744  0.02035752 0.04141382],[0.05494209 0.07259681 0.08379126],0,[0 0 0],0,[0 0 0],[1.52089792 0.59843735 1.56773126],[1.5209054  0.59821774 1.56774453],[1.52944597 0.07895173 1.59259442]
[ 0.25651407 -0.49541485 -0.95573515],[0.53739285 0.0604862  0.2770834 ],[-0.15860814  0.5823437   1.54946482],[-0.07593305 -0.0310324   0.0256165 ],[ 0.12312678 -0.23779912 -0.4587529 ],[2.57024479 0.3413969  1.41327417],[-0.15830629  0.75694489  1.52112842],[-0.01278082  0.01992073 -0.01756321],[-0.03683887  0.0516256   0.05350616],[-0.02030458 -0.0034845  -0.0017917 ],[-5.55111512e-17 -3.33966785e-02  2.46186186e-03],0,2.9077620309964627,[-7.32591224e-07  2.47046329e-06  2.19766073e-04],[-1.48975794e-07 -6.98769990e-07  3.28138680e-04],[ 1.40097122e-04 -4.37397858e-07 -1.92382817e-05],[0.01619936 0.02384017 0.0444202 ],[0.01333575 0.02160187 0.04218058],[0.0544501  0.07155415 0.0835133 ],0,[0 0 0],0,[0 0 0],[1.53149313 0.60708519 1.56764802],[1.5314991  0.60686647 1.56765849],[1.53839503 0.08740277 1.587248  ]
[ 0.13215995 -0.18017137  0.00396705],[-0.59067017  0.44611394 -0.01648819],[-0.15834382  0.58198339  1.54947269],[-0.08773143 -0.02211227  0.02523414],[ 0.06343681 -0.08648225  0.00190417],[-2.88412881  2.06815195 -0.16699828],[-0.16850379  0.77131051  1.51662266],[ 0.00429396 -0.00832138  0.00987134],[-0.02788195  0.0302985   0.05096722],[ 0.00374015 -0.00457675 -0.01356766],[-1.38777878e-17 -3.39036177e-02  2.90928601e-03],0,2.90037527890187,[-2.26794066e-07  2.49293559e-06  2.20672779e-04],[-1.48975794e-07 -2.98642453e-07  3.28039093e-04],[ 1.39900445e-04 -1.76160409e-07 -1.92482228e-05],[0.01768568 0.02482805 0.04598386],[0.0153348  0.02320593 0.04438562],[0.05381158 0.0703057  0.08146128],0,[0 0 0],0,[0 0 0],[1.53321502 0.59637492 1.57451147],[1.53322062 0.59615531 1.57452144],[1.53961309 0.07666779 1.59323652]
